"id","firstName","lastName","phone","city","gender","age","prevCalls","totalTime","product","period","topic"
"696002849","Bo","Schowalter","(655)","Haifa","Female",32,80,311.841,"all","Ordinary Days","leave"
"735929928","Rylan","Lowe","909-989-0020","Haifa","Male",53,48,329.768,"cables","Summer Vacations","service"
"947362453","Zackary","Kunde","(799)","Haifa","Male",51,22,330.68,"cellular","Summer Vacations","complaint"
"775238586","Lolita","Wilderman","497-291-6752","Nahariya","Female",116,186,332.532,"all","Holidays","leave"
"295777513","Allan","Stamm","858-532-5347","Ashdod","Female",57,128,335.336,"cellular","Ordinary Days","complaint"
"488816322","Mollie","Collins","1-431-791-1764","Beer-Sheva","Male",67,92,336.508,"cables","Summer Vacations","service"
"292920977","Bernard","Howell","931.210.3487","Ashdod","Male",75,159,338.606,"all","Holidays","complaint"
"856598944","Lon","Schultz","522-206-7324","Ashdod","Female",64,144,341.144,"all","Summer Vacations","leave"
"301328095","Madelynn","Kerluke","(313)","Ashkelon","Male",112,188,343.353,"cables","Ordinary Days","service"
"970801654","Alisa","Crist","(743)","Tel-Aviv","Male",25,140,346.11,"internet","Summer Vacations","join"
"751065557","Polly","Strosin","568-878-8550","Ashdod","Female",18,190,350.186,"cellular","Holidays","complaint"
"867258558","Darryl","Gutmann","808.342.2707","Nahariya","Male",21,18,352.036,"all","Summer Vacations","leave"
"664529814","Emmanuel","Prohaska","(295)","Jerusalem","Female",93,143,354.145,"cables","Ordinary Days","service"
"107667466","Ansel","Kautzer","300.883.5580","Ashkelon","Female",80,112,356.625,"cellular","Summer Vacations","complaint"
"211996664","Leonel","Schaden","565-772-3834","Jerusalem","Female",100,168,359.149,"internet","Holidays","join"
"326605055","June","Morar","738-281-0232","Nahariya","Female",95,154,367.74,"all","Summer Vacations","leave"
"37121777","Ona","Mosciski","(899)","Haifa","Female",74,49,434.135,"cables","Summer Vacations","complaint"
"144201366","Joanie","Macejkovic","1-715-770-5590","Jerusalem","Female",23,156,443.917,"cables","Holidays","service"
"695691605","Isaac","Muller","464.523.8897","Haifa","Female",73,79,444.959,"cables","Holidays","service"
"947690580","Floy","Smitham","(399)","Beer-Sheva","Male",93,147,445.218,"cellular","Holidays","complaint"
"88252336","Maynard","Ferry","(781)","Ashdod","Male",61,131,446.562,"all","Holidays","leave"
"430735838","Kaley","Little","953-895-4055","Tel-Aviv","Male",20,193,446.82,"internet","Holidays","join"
"747250123","Alexanne","Boehm","907-777-7421","Beer-Sheva","Female",41,4,446.832,"cables","Holidays","service"
"536329317","Javier","Olson","964-678-3062","Jerusalem","Female",46,151,446.834,"cellular","Holidays","complaint"
"22276754","Ethelyn","Gerlach","650-519-1219","Haifa","Female",52,198,446.854,"all","Holidays","leave"
"482777811","Caleb","Reilly","927-879-3529","Ashkelon","Male",50,166,446.911,"internet","Holidays","join"
"872321406","Lester","Marvin","(305)","Haifa","Female",116,179,447.398,"cables","Holidays","service"
"676988240","Carissa","Christiansen","(768)","Jerusalem","Female",77,171,447.418,"cellular","Holidays","complaint"
"372615468","Lilyan","Reynolds","709.495.5336","Haifa","Female",19,135,447.929,"all","Holidays","leave"
"567608128","Crystel","Homenick","1-387-948-6994","Tel-Aviv","Male",63,45,448.133,"internet","Holidays","join"
"442204932","Yvette","Shanahan","989-541-9728","Nahariya","Female",91,61,450.173,"cables","Summer Vacations","service"
"168017558","Cathy","Terry","(293)","Beer-Sheva","Male",35,65,450.424,"cellular","Summer Vacations","complaint"
"482777811","Caleb","Reilly","927-879-3529","Ashkelon","Male",50,116,450.552,"all","Summer Vacations","leave"
"834598359","Frederik","DuBuque","1-207-344-4481","Tel-Aviv","Male",30,92,450.543,"internet","Summer Vacations","join"
"129319263","Ralph","Schowalter","571.327.4463","Ashkelon","Female",43,101,450.547,"internet","Summer Vacations","service"
"359478872","Erick","Pfannerstill","(503)","Jerusalem","Female",33,72,450.55,"cables","Summer Vacations","complaint"
"295356935","Zola","Hills","(853)","Beer-Sheva","Male",64,185,450.567,"all","Summer Vacations","leave"
"454972106","Luz","Bins","1-350-493-2892","Jerusalem","Female",102,172,450.571,"internet","Summer Vacations","join"
"602665311","Jonathon","Lemke","(811)","Haifa","Female",93,99,450.635,"cellular","Summer Vacations","service"
"943306130","Deborah","Douglas","820-619-8859","Jerusalem","Female",76,63,450.747,"cables","Summer Vacations","complaint"
"839945903","Emmy","Erdman","(819)","Ashkelon","Female",109,107,453.181,"all","Ordinary Days","leave"
"272302952","Magali","Bergstrom","(656)","Jerusalem","Female",78,39,453.678,"cables","Ordinary Days","service"
"250186658","Meda","Harris","610.598.9778","Haifa","Female",54,198,453.459,"internet","Ordinary Days","join"
"820188272","Opal","Nienow","346.223.5589","Nahariya","Male",107,47,454.264,"cellular","Ordinary Days","complaint"
"530524939","Bernice","Ondricka","368-987-9542","Nahariya","Female",110,58,454.673,"internet","Ordinary Days","leave"
"818957274","Edward","Mann","608.289.7025","Ashkelon","Female",102,163,455.113,"cables","Ordinary Days","join"
